Title,Rank,Type,Episodes,Aired,Members,Page_url,image_url,Score
Honoo no Mirage: Muyou no Michi,8414,Special,1,Feb 2002 - Feb 2002,1551,https://myanimelist.net/anime/40104/Honoo_no_Mirage__Muyou_no_Michi,https://cdn.myanimelist.net/r/100x140/images/anime/1837/102586.jpg?s=e1a441ba3df37030cebc8abf528e09b4,6.1
Peeping Life: YouTuber-kun,12648,ONA,4,Aug 2013 - Aug 2013,809,https://myanimelist.net/anime/20955/Peeping_Life__YouTuber-kun,https://cdn.myanimelist.net/r/100x140/images/anime/2/55315.jpg?s=0685c7b241cf14a018ff83880ed32abc,4.27
Overlord: Oukoku no Kan-tachi - Drama CD-tsuki Tokusou-ban,7861,ONA,1,Jan 2014 - Jan 2014,12289,https://myanimelist.net/anime/37264/Overlord__Oukoku_no_Kan-tachi_-_Drama_CD-tsuki_Tokusou-ban,https://cdn.myanimelist.net/r/100x140/images/anime/1441/92708.jpg?s=70fbe396b5247933b0d6922ecf995768,6.21
Koi to Senkyo to Chocolate: Koi Imouto!,4749,Special,1,Mar 2013 - Mar 2013,37747,https://myanimelist.net/anime/18045/Koi_to_Senkyo_to_Chocolate__Koi_Imouto,https://cdn.myanimelist.net/r/100x140/images/anime/3/83000.jpg?s=627e851d336c4802d76efc1ec32c2c8c,6.83
RahXephon: Tagen Hensoukyoku,4009,Movie,1,Apr 2003 - Apr 2003,15392,https://myanimelist.net/anime/758/RahXephon__Tagen_Hensoukyoku,https://cdn.myanimelist.net/r/100x140/images/anime/1771/94881.jpg?s=be57971a335d40f724e79dc071c06e85,7.0
Masuda Kousuke Gekijou Gag Manga Biyori +,4374,TV,12,Jan 2010 - Jun 2010,2455,https://myanimelist.net/anime/7761/Masuda_Kousuke_Gekijou_Gag_Manga_Biyori__,https://cdn.myanimelist.net/r/100x140/images/anime/13/18805.jpg?s=aa2960479d5026c37db9aaf2cf6db88c,6.91
Doraemon Movie 36: Shin Nobita no Nippon Tanjou,2339,Movie,1,Mar 2016 - Mar 2016,5450,https://myanimelist.net/anime/31201/Doraemon_Movie_36__Shin_Nobita_no_Nippon_Tanjou,https://cdn.myanimelist.net/r/100x140/images/anime/7/78157.jpg?s=88b6952a932200ec7a05f1c28f83d08d,7.34
11:08,10695,ONA,1,Nov 2012 - Nov 2012,331,https://myanimelist.net/anime/51078/11_08,https://cdn.myanimelist.net/r/100x140/images/anime/1111/121033.jpg?s=596e907d5c644ec501b1c694e62b3506,5.54
No Game No Life: Zero,357,Movie,1,Jul 2017 - Jul 2017,835562,https://myanimelist.net/anime/33674/No_Game_No_Life__Zero,https://cdn.myanimelist.net/r/100x140/images/anime/1085/90759.jpg?s=345a9adc26a9d58688e189f4a3884da0,8.19
Doraemon: Nobita's the Night Before a Wedding,3410,Movie,1,Mar 1999 - Mar 1999,3070,https://myanimelist.net/anime/2660/Doraemon__Nobitas_the_Night_Before_a_Wedding,https://cdn.myanimelist.net/r/100x140/images/anime/1398/133726.jpg?s=9847a28aa91159bad55b726770bbb9a5,7.13
Ganbare Douki-chan,6153,ONA,12,Sep 2021 - Dec 2021,102045,https://myanimelist.net/anime/49605/Ganbare_Douki-chan,https://cdn.myanimelist.net/r/100x140/images/anime/1185/117548.jpg?s=5edb93dfa4ee5de67e7cd6e5c533f2f1,6.54
Soredemo Machi wa Mawatteiru,1943,TV,12,Oct 2010 - Dec 2010,61489,https://myanimelist.net/anime/8726/Soredemo_Machi_wa_Mawatteiru,https://cdn.myanimelist.net/r/100x140/images/anime/9/25880.jpg?s=51cec057352062aa432531f85642db6e,7.44
Reikenzan: Hoshikuzu-tachi no Utage,3845,TV,12,Jan 2016 - Mar 2016,93464,https://myanimelist.net/anime/32094/Reikenzan__Hoshikuzu-tachi_no_Utage,https://cdn.myanimelist.net/r/100x140/images/anime/11/78196.jpg?s=ddef56a03842ef3dd1ce0951a8506705,7.04
100% Pascal-sensei,11462,ONA,6,Oct 2016 - Mar 2017,701,https://myanimelist.net/anime/35447/100_Pascal-sensei,https://cdn.myanimelist.net/r/100x140/images/anime/11/85447.jpg?s=bdb1e7bcd5ec3d10bcf30627a28fead8,5.28
Hello Kitty no Cinderella (OVA),10148,OVA,1,Nov 2001 - Nov 2001,668,https://myanimelist.net/anime/30264/Hello_Kitty_no_Cinderella_OVA,https://cdn.myanimelist.net/r/100x140/images/anime/1443/112445.jpg?s=8001b0904a33b6a2f3baf92939005a04,5.69
"Ququ Bucai, Zaixia Yeguai",4888,ONA,12,Apr 2023 - Jun 2023,3298,https://myanimelist.net/anime/54772/Ququ_Bucai_Zaixia_Yeguai,https://cdn.myanimelist.net/r/100x140/images/anime/1697/134541.jpg?s=816317fc51779c05bcd6e1f5f3761729,6.8
Padak Padak,5801,Movie,1,Jul 2012 - Jul 2012,899,https://myanimelist.net/anime/33238/Padak_Padak,https://cdn.myanimelist.net/r/100x140/images/anime/8/79860.jpg?s=89a8ac72c87214bad9a77404fecfecf3,6.61
Change!! Getter Robo: Sekai Saigo no Hi,1070,OVA,13,Aug 1998 - May 1999,14926,https://myanimelist.net/anime/978/Change_Getter_Robo__Sekai_Saigo_no_Hi,https://cdn.myanimelist.net/r/100x140/images/anime/4/23767.jpg?s=37646d02fce6e1dbcaaef98dd05b4c81,7.73
Zhan Qiannian,5445,ONA,16,Jul 2022 - Oct 2022,761,https://myanimelist.net/anime/51517/Zhan_Qiannian,https://cdn.myanimelist.net/r/100x140/images/anime/1675/125194.jpg?s=4f45564ebdf7f3ce2877241b3bbdd62a,6.68
Pussycat,12664,ONA,1,Dec 2008 - Dec 2008,5279,https://myanimelist.net/anime/11687/Pussycat,https://cdn.myanimelist.net/r/100x140/images/anime/1398/134080.jpg?s=e266fcc304d099b38dfd93af42dd4df0,4.19
Papuwa,5633,TV,26,Sep 2003 - Mar 2004,1755,https://myanimelist.net/anime/2501/Papuwa,https://cdn.myanimelist.net/r/100x140/images/anime/11/3061.jpg?s=c8e8d630d234d7169b0c73f1a99815ac,6.65
Kiddy Grade: Maelstrom,3931,Movie,1,Jun 2007 - Jun 2007,4618,https://myanimelist.net/anime/3222/Kiddy_Grade__Maelstrom,https://cdn.myanimelist.net/r/100x140/images/anime/2/56969.jpg?s=08b2f954574abb3512078d760475149b,7.02
Heisei Tensai Bakabon,9254,TV,46,Jan 1990 - Dec 1990,779,https://myanimelist.net/anime/19961/Heisei_Tensai_Bakabon,https://cdn.myanimelist.net/r/100x140/images/anime/10/60843.jpg?s=15a281caf86b4b1f026fed1a5abc1460,5.92
Nyago Dance,12497,Movie,1,1932 - 1932,419,https://myanimelist.net/anime/35747/Nyago_Dance,https://cdn.myanimelist.net/r/100x140/images/anime/5/86283.jpg?s=044aebfc7b437c761595158f7bbd9800,4.59
Jormungand: Perfect Order,740,TV,12,Oct 2012 - Dec 2012,185761,https://myanimelist.net/anime/13331/Jormungand__Perfect_Order,https://cdn.myanimelist.net/r/100x140/images/anime/4/73278.jpg?s=aebe0b8c387dc573f6759937e93c36de,7.9
Nanatsu no Taizai Movie 2: Hikari ni Norowareshi Mono-tachi,3429,Movie,1,Jul 2021 - Jul 2021,73269,https://myanimelist.net/anime/46420/Nanatsu_no_Taizai_Movie_2__Hikari_ni_Norowareshi_Mono-tachi,https://cdn.myanimelist.net/r/100x140/images/anime/1096/113360.jpg?s=a6b80ce729c41a6febcc866a98457463,7.13
The Marginal Service,10926,TV,12,Apr 2023 - Jun 2023,18904,https://myanimelist.net/anime/53587/The_Marginal_Service,https://cdn.myanimelist.net/r/100x140/images/anime/1576/133934.jpg?s=68b4f02e3757a8836f01bb0f9bcd61aa,5.47
Bakuen Campus Guardress,9260,OVA,4,May 1994 - Nov 1994,3534,https://myanimelist.net/anime/2023/Bakuen_Campus_Guardress,https://cdn.myanimelist.net/r/100x140/images/anime/1087/93010.jpg?s=f062555bbefa71b1a316c9d6e57d0337,5.91
Murenase! Seton Gakuen,4221,TV,12,Jan 2020 - Mar 2020,191747,https://myanimelist.net/anime/40483/Murenase_Seton_Gakuen,https://cdn.myanimelist.net/r/100x140/images/anime/1558/104666.jpg?s=a2bb2edcd0a50d0c7a193dd8e4f82c0c,6.95
"Taisetsu na Kazoku wo Tsutsumu, Sono Te.",8897,ONA,1,Nov 2017 - Nov 2017,315,https://myanimelist.net/anime/37790/Taisetsu_na_Kazoku_wo_Tsutsumu_Sono_Te,https://cdn.myanimelist.net/r/100x140/images/anime/1254/92079.jpg?s=ddecfe47b12c1e79ccbabd63bf334443,5.99
Toaru Kagaku no Railgun: Entenka no Satsuei Model mo Raku Ja Arimasen wa ne.,4914,OVA,1,Jul 2010 - Jul 2010,40558,https://myanimelist.net/anime/9063/Toaru_Kagaku_no_Railgun__Entenka_no_Satsuei_Model_mo_Raku_Ja_Arimasen_wa_ne,https://cdn.myanimelist.net/r/100x140/images/anime/6/76118.jpg?s=aeb9e9be3bb5a1f2fb523a29d48ddfc2,6.79
Shirayuki Hime no Densetsu,5501,TV,52,Apr 1994 - Mar 1995,3523,https://myanimelist.net/anime/3809/Shirayuki_Hime_no_Densetsu,https://cdn.myanimelist.net/r/100x140/images/anime/3/59509.jpg?s=61b74322f0bdd29715011e440753193c,6.67
Suzumiya Haruhi no Shoushitsu,82,Movie,1,Feb 2010 - Feb 2010,591529,https://myanimelist.net/anime/7311/Suzumiya_Haruhi_no_Shoushitsu,https://cdn.myanimelist.net/r/100x140/images/anime/1248/112352.jpg?s=581f15a13716a9083f1f9a7557e44a72,8.61
Mameshiba Bangai-hen,11508,Special,11,2008 - Dec 2022,538,https://myanimelist.net/anime/33552/Mameshiba_Bangai-hen,https://cdn.myanimelist.net/r/100x140/images/anime/3/80697.jpg?s=a313834fbf5c7cf6e0cfbdded7d6f169,5.27
Mameneko,9011,TV,12,Jan 2018 - Mar 2018,1544,https://myanimelist.net/anime/36728/Mameneko,https://cdn.myanimelist.net/r/100x140/images/anime/1360/113120.jpg?s=ed2c2d2bf5f328237d3be2214bc4092c,5.97
Kyoukai no Kanata Movie 2: I'll Be Here - Mirai-hen,408,Movie,1,Apr 2015 - Apr 2015,252694,https://myanimelist.net/anime/28675/Kyoukai_no_Kanata_Movie_2__Ill_Be_Here_-_Mirai-hen,https://cdn.myanimelist.net/r/100x140/images/anime/9/72614.jpg?s=f42e56d6eb8303ee4733a53acb925e25,8.15
Seishun Anime Zenshuu,6443,TV,32,Apr 1986 - Dec 1986,2052,https://myanimelist.net/anime/4723/Seishun_Anime_Zenshuu,https://cdn.myanimelist.net/r/100x140/images/anime/2/9105.jpg?s=fb8b46d13d4b3953d7068d39b5f24697,6.5
Captain Tsubasa J,2632,TV,47,Oct 1994 - Dec 1995,29002,https://myanimelist.net/anime/1674/Captain_Tsubasa_J,https://cdn.myanimelist.net/r/100x140/images/anime/1140/92113.jpg?s=7f37ac8473c4df964f1be01a017713a5,7.28
Hello Kitty no Yuki no Joou,9581,OVA,1,Dec 2001 - Dec 2001,605,https://myanimelist.net/anime/22485/Hello_Kitty_no_Yuki_no_Joou,https://cdn.myanimelist.net/r/100x140/images/anime/10/58703.jpg?s=b950456aea1e70a047cd67c073529d56,5.84
Cardfight!! Vanguard: will+Dress Season 2,5392,TV,12,Jan 2023 - Apr 2023,3660,https://myanimelist.net/anime/49820/Cardfight_Vanguard__will_Dress_Season_2,https://cdn.myanimelist.net/r/100x140/images/anime/1259/131669.jpg?s=9077e7416ae563c8fff513cc115dc598,6.69
Tono to Issho,6527,OVA,1,Mar 2010 - Mar 2010,3945,https://myanimelist.net/anime/7591/Tono_to_Issho,https://cdn.myanimelist.net/r/100x140/images/anime/5/18878.jpg?s=de47e7169388c442eaeeecf94257952d,6.48
Shuangsheng Lingtan,3528,ONA,20,Aug 2016 - Jan 2017,13827,https://myanimelist.net/anime/33969/Shuangsheng_Lingtan,https://cdn.myanimelist.net/r/100x140/images/anime/4/81754.jpg?s=53cec76fe4b8927213cad7d7b0bf675e,7.11
PES: Peace Eco Smile,10732,ONA,7,May 2012 - Aug 2012,3688,https://myanimelist.net/anime/13427/PES__Peace_Eco_Smile,https://cdn.myanimelist.net/r/100x140/images/anime/6/39245.jpg?s=7f51d1f1447b2cbf6259a90b07d0a380,5.53
Made in Abyss,62,TV,13,Jul 2017 - Sep 2017,1300823,https://myanimelist.net/anime/34599/Made_in_Abyss,https://cdn.myanimelist.net/r/100x140/images/anime/6/86733.jpg?s=ff773aca2bed4fe79efd6a5b6ff0e911,8.66
Kurokami The Animation,3420,TV,23,Jan 2009 - Jun 2009,119111,https://myanimelist.net/anime/5079/Kurokami_The_Animation,https://cdn.myanimelist.net/r/100x140/images/anime/12/78669.jpg?s=632242fcf37916af24e1f7d1d93fe235,7.13
Suteneko Tora-chan,10316,Movie,1,Sep 1947 - Sep 1947,1609,https://myanimelist.net/anime/5662/Suteneko_Tora-chan,https://cdn.myanimelist.net/r/100x140/images/anime/1552/105362.jpg?s=d6fa88a52055ff446b647248ab8de39f,5.65
Rerere no Tensai Bakabon,8668,TV,24,Oct 1999 - Mar 2000,751,https://myanimelist.net/anime/10607/Rerere_no_Tensai_Bakabon,https://cdn.myanimelist.net/r/100x140/images/anime/5/60847.jpg?s=2e9d1f28bc2446878d11cc8d343d3e5b,6.05
Fushigi na Koala Blinky,8569,TV,26,Jul 1984 - Dec 1984,1070,https://myanimelist.net/anime/1333/Fushigi_na_Koala_Blinky,https://cdn.myanimelist.net/r/100x140/images/anime/2/4322.jpg?s=127092aae33c6bc364b902d22401edb0,6.07
Xi Yangyang Yu Hui Tailang: Hu Hu Sheng Wei,10978,Movie,1,Jan 2010 - Jan 2010,560,https://myanimelist.net/anime/9973/Xi_Yangyang_Yu_Hui_Tailang__Hu_Hu_Sheng_Wei,https://cdn.myanimelist.net/r/100x140/images/anime/2/27631.jpg?s=e43f4f3c321c1a0f8749a63920af8d52,5.45
Fullmetal Alchemist: The Sacred Star of Milos,2740,Movie,1,Jul 2011 - Jul 2011,181371,https://myanimelist.net/anime/9135/Fullmetal_Alchemist__The_Sacred_Star_of_Milos,https://cdn.myanimelist.net/r/100x140/images/anime/2/29550.jpg?s=c5508a5dd0e5a734b802cf97b1abb34f,7.26
Yuuki Yuuna wa Yuusha de Aru: Washio Sumi no Shou 2 - Tamashii,937,Movie,1,Apr 2017 - Apr 2017,14070,https://myanimelist.net/anime/34375/Yuuki_Yuuna_wa_Yuusha_de_Aru__Washio_Sumi_no_Shou_2_-_Tamashii,https://cdn.myanimelist.net/r/100x140/images/anime/9/86480.jpg?s=50e107b642b3a00c8a2c96007f949646,7.79
Ajin Part 2: Shoutotsu,2935,Movie,1,May 2016 - May 2016,26690,https://myanimelist.net/anime/30869/Ajin_Part_2__Shoutotsu,https://cdn.myanimelist.net/r/100x140/images/anime/1987/112815.jpg?s=7f505bb72227df6da61e3dc6dc0feced,7.22
Dr. Slump: Arale-chan no Koutsuu Anzen,10327,Special,2,1983 - 1983,825,https://myanimelist.net/anime/30420/Dr_Slump__Arale-chan_no_Koutsuu_Anzen,https://cdn.myanimelist.net/r/100x140/images/anime/1213/133140.jpg?s=fd59238dc7a78ec08001bc2dc2fd0b5c,5.65
Ninja Hattori-kun Plus Perman: Chounouryoku Wars,9148,Movie,1,Mar 1984 - Mar 1984,836,https://myanimelist.net/anime/29235/Ninja_Hattori-kun_Plus_Perman__Chounouryoku_Wars,https://cdn.myanimelist.net/r/100x140/images/anime/3/70411.jpg?s=e77a6a960ee2598d3fb741cf4e85d1be,5.94
Argento Soma: Hitori to Hitori,7294,Special,1,Mar 2002 - Mar 2002,3870,https://myanimelist.net/anime/1789/Argento_Soma__Hitori_to_Hitori,https://cdn.myanimelist.net/r/100x140/images/anime/6/3194.jpg?s=959bd7128173609e110c2e42c8ff497f,6.32
True Tears: Raigomaru to Jibeta no Monogatari,8157,Special,1,Mar 2010 - Mar 2010,7718,https://myanimelist.net/anime/9002/True_Tears__Raigomaru_to_Jibeta_no_Monogatari,https://cdn.myanimelist.net/r/100x140/images/anime/13/24906.jpg?s=e689046fab4953a2832d20a3a6e21326,6.15
Tantei Gakuen Q,1062,TV,45,Apr 2003 - Mar 2004,34250,https://myanimelist.net/anime/407/Tantei_Gakuen_Q,https://cdn.myanimelist.net/r/100x140/images/anime/1/407.jpg?s=d14f13c50ddb4d607be0c8cb9e2e59eb,7.73
Katanagatari,237,TV,12,Jan 2010 - Dec 2010,546522,https://myanimelist.net/anime/6594/Katanagatari,https://cdn.myanimelist.net/r/100x140/images/anime/1112/119225.jpg?s=ca7c04e45e43f3fc882806c9f3de0b7c,8.31
Ookami wa Ookami da,11892,Movie,1,1931 - 1931,514,https://myanimelist.net/anime/34957/Ookami_wa_Ookami_da,https://cdn.myanimelist.net/r/100x140/images/anime/1090/92231.jpg?s=be4c2c56bf7511438b6dcaa6ebb63cf6,5.08
Himitsu no Hana no Niwa,5910,ONA,1,Mar 2023 - Mar 2023,552,https://myanimelist.net/anime/54725/Himitsu_no_Hana_no_Niwa,https://cdn.myanimelist.net/r/100x140/images/anime/1318/134230.jpg?s=0a85d36299f2fb467d12f1b1cc82af68,6.59
Ninja Hattori-kun Plus Perman: Ninja Kaijuu Jippou tai Miracle Tamago,9339,Movie,1,Mar 1985 - Mar 1985,665,https://myanimelist.net/anime/29233/Ninja_Hattori-kun_Plus_Perman__Ninja_Kaijuu_Jippou_tai_Miracle_Tamago,https://cdn.myanimelist.net/r/100x140/images/anime/13/70335.jpg?s=7965a123968749881421b3cff02b6fc2,5.9
Tokyo Ghoul √A,3954,TV,12,Jan 2015 - Mar 2015,1712621,https://myanimelist.net/anime/27899/Tokyo_Ghoul_√A,https://cdn.myanimelist.net/r/100x140/images/anime/1889/123307.jpg?s=613d721f75772ae4d3c7bf47cd8b3815,7.02
Qiang Shen Ji: Tegong Shijie Pian,8370,ONA,12,Jun 2018 - Aug 2018,449,https://myanimelist.net/anime/42149/Qiang_Shen_Ji__Tegong_Shijie_Pian,https://cdn.myanimelist.net/r/100x140/images/anime/1624/108204.jpg?s=48e10cabd5ce3704a19fab7980e5c909,6.11
Hot Minute: Gudetama,10467,ONA,1,Nov 2015 - Nov 2015,1139,https://myanimelist.net/anime/32349/Hot_Minute__Gudetama,https://cdn.myanimelist.net/r/100x140/images/anime/4/77725.jpg?s=2e7e7158dcb48beb2acead16239ea795,5.61
Mahou no Star Magical Emi: Kumo Hikaru,8599,OVA,1,May 2002 - May 2002,1043,https://myanimelist.net/anime/8431/Mahou_no_Star_Magical_Emi__Kumo_Hikaru,https://cdn.myanimelist.net/r/100x140/images/anime/6/60083.jpg?s=15761b28a229c6297a6fea94fe5d65b4,6.06
"Tari Tari: Kumottari, Kagayaitari, Mata Itsuka Utattari",4991,Special,1,Dec 2014 - Dec 2014,9101,https://myanimelist.net/anime/27419/Tari_Tari__Kumottari_Kagayaitari_Mata_Itsuka_Utattari,https://cdn.myanimelist.net/r/100x140/images/anime/2/66549.jpg?s=1099740c32ac8174fdbb4b61db7ad37c,6.77
Uchuu Kazoku Carlvinson,5890,OVA,1,Dec 1988 - Dec 1988,3014,https://myanimelist.net/anime/4533/Uchuu_Kazoku_Carlvinson,https://cdn.myanimelist.net/r/100x140/images/anime/1084/104620.jpg?s=de70118440b33ae53cc845b496d20245,6.59
Choujin Locke: Shinsekai Sentai,9315,OVA,2,Aug 1991 - Oct 1991,1316,https://myanimelist.net/anime/4534/Choujin_Locke__Shinsekai_Sentai,https://cdn.myanimelist.net/r/100x140/images/anime/6/85454.jpg?s=3bdcc31cf22b0c525b3f0b1b1eddb089,5.9
Elite Banana Banao,10400,ONA,9,Dec 2015 - Aug 2016,686,https://myanimelist.net/anime/33986/Elite_Banana_Banao,https://cdn.myanimelist.net/r/100x140/images/anime/2/82042.jpg?s=0070edf779365a3dc658713e7664650b,5.63
Digimon Adventure: 20-shuunen Memorial Story,5245,ONA,5,Nov 2019 - Dec 2020,5847,https://myanimelist.net/anime/41206/Digimon_Adventure__20-shuunen_Memorial_Story,https://cdn.myanimelist.net/r/100x140/images/anime/1554/105788.jpg?s=1d029aa56f21fc6e7e9823be2af0c2b0,6.72
Irregular Hunter X: The Day of Sigma,3212,OVA,1,Dec 2005 - Dec 2005,11610,https://myanimelist.net/anime/2808/Irregular_Hunter_X__The_Day_of_Sigma,https://cdn.myanimelist.net/r/100x140/images/anime/3/9131.jpg?s=5781f77aa40839e5d936461b627aa327,7.17
Ai Tenshi Densetsu Wedding Peach DX,5510,OVA,4,Dec 1996 - Jul 1997,5960,https://myanimelist.net/anime/1957/Ai_Tenshi_Densetsu_Wedding_Peach_DX,https://cdn.myanimelist.net/r/100x140/images/anime/13/28128.jpg?s=06fe620605e45c3f7cd65d681f71c875,6.67
Pokemon: Mewtwo - Kakusei e no Prologue,5650,Special,1,Jul 2013 - Jul 2013,8608,https://myanimelist.net/anime/19099/Pokemon__Mewtwo_-_Kakusei_e_no_Prologue,https://cdn.myanimelist.net/r/100x140/images/anime/10/69025.jpg?s=8e32b6e406ae19aefd06f8a155fb938e,6.64
Yoku Wakaru Gendai Mahou,6753,TV,12,Jul 2009 - Sep 2009,25186,https://myanimelist.net/anime/5454/Yoku_Wakaru_Gendai_Mahou,https://cdn.myanimelist.net/r/100x140/images/anime/5/88619.jpg?s=72abd64d121af29fbc8ebec3d2139c82,6.43
Honoo no Alpenrose: Ai no Symphony Ongaku-hen,10208,OVA,1,-,514,https://myanimelist.net/anime/35628/Honoo_no_Alpenrose__Ai_no_Symphony_Ongaku-hen,https://cdn.myanimelist.net/r/100x140/images/anime/11/85888.jpg?s=dfb3386f83adb8411893b2beaf2bbc84,5.68
Kuromi's Pretty Journey,7317,ONA,21,Feb 2023 - Mar 2023,1388,https://myanimelist.net/anime/54535/Kuromis_Pretty_Journey,https://cdn.myanimelist.net/r/100x140/images/anime/1398/133473.jpg?s=a8830ad12a8db5acb11068bcf50e8ed8,6.32
Long She Yanyi,4289,ONA,16,Jan 2022 - Apr 2022,1027,https://myanimelist.net/anime/50544/Long_She_Yanyi,https://cdn.myanimelist.net/r/100x140/images/anime/1789/122655.jpg?s=af88bf498677e9f583edc19d2c51bc04,6.93
Bishoujo Senshi Sailor Moon S: Kaguya-hime no Koibito,1176,Movie,1,Dec 1994 - Dec 1994,52820,https://myanimelist.net/anime/997/Bishoujo_Senshi_Sailor_Moon_S__Kaguya-hime_no_Koibito,https://cdn.myanimelist.net/r/100x140/images/anime/1601/98566.jpg?s=209c5193d45d87058814c67b72ed5a56,7.69
Legend of Basara: Shinbashi Theater,10772,Special,1,Sep 2002 - Sep 2002,590,https://myanimelist.net/anime/23597/Legend_of_Basara__Shinbashi_Theater,https://cdn.myanimelist.net/r/100x140/images/anime/12/61723.jpg?s=2d9328aaad8a8978703308e47ce7dad9,5.52
Himitsu no Akko-chan 3,6959,TV,44,Apr 1998 - Feb 1999,1073,https://myanimelist.net/anime/3839/Himitsu_no_Akko-chan_3,https://cdn.myanimelist.net/r/100x140/images/anime/8/6843.jpg?s=208f985d1d7fc7a9fd9ac06c553e4bc5,6.39
Wooser no Sono Higurashi,7966,TV,12,Oct 2012 - Dec 2012,11833,https://myanimelist.net/anime/15313/Wooser_no_Sono_Higurashi,https://cdn.myanimelist.net/r/100x140/images/anime/8/55353.jpg?s=cd1eeab847e95d9d45475afb6b4409b2,6.19
Shiri Play,12230,Movie,1,2005 - 2005,275,https://myanimelist.net/anime/41443/Shiri_Play,https://cdn.myanimelist.net/r/100x140/images/anime/1401/106454.jpg?s=977c56dfcec0773792b418ace65d3cc2,4.84
Neko Ramen,8212,ONA,13,Dec 2006 - Mar 2007,3856,https://myanimelist.net/anime/3535/Neko_Ramen,https://cdn.myanimelist.net/r/100x140/images/anime/8/17126.jpg?s=2d039624ccf9e1c457408e1d188fb934,6.14
Lostorage Incited WIXOSS,5486,TV,12,Oct 2016 - Dec 2016,56428,https://myanimelist.net/anime/33197/Lostorage_Incited_WIXOSS,https://cdn.myanimelist.net/r/100x140/images/anime/3/82289.jpg?s=b9731538ffb83114489a3e59db41a16b,6.67
Hulaing Babies,9805,TV,12,Jan 2019 - Mar 2019,3925,https://myanimelist.net/anime/34332/Hulaing_Babies,https://cdn.myanimelist.net/r/100x140/images/anime/1647/98885.jpg?s=a1dd9300e429c2d8addd71773626896e,5.78
Urusei Yatsura Movie 4: Lum The Forever,5282,Movie,1,Feb 1986 - Feb 1986,7653,https://myanimelist.net/anime/1923/Urusei_Yatsura_Movie_4__Lum_The_Forever,https://cdn.myanimelist.net/r/100x140/images/anime/4/79775.jpg?s=9e795a0b001c17a0d1eddf86e47466bf,6.72
Masou Gakuen HxH Specials,6172,Special,6,Sep 2016 - Feb 2017,36243,https://myanimelist.net/anime/34447/Masou_Gakuen_HxH_Specials,https://cdn.myanimelist.net/r/100x140/images/anime/11/83016.jpg?s=9c2dd4a9202ef82824f353f42edefd36,6.54
One Off,6896,OVA,4,Aug 2012 - Oct 2012,16351,https://myanimelist.net/anime/13283/One_Off,https://cdn.myanimelist.net/r/100x140/images/anime/12/39661.jpg?s=06b79fbd26a78205e36e1fd00a113a42,6.4
Dragon Half,4673,OVA,2,Mar 1993 - May 1993,20943,https://myanimelist.net/anime/870/Dragon_Half,https://cdn.myanimelist.net/r/100x140/images/anime/1558/97694.jpg?s=b5936e582cd04224dd6ab3aba361de02,6.84
Suteki Tantei Labyrinth,5579,TV,25,Oct 2007 - Mar 2008,9912,https://myanimelist.net/anime/2965/Suteki_Tantei_Labyrinth,https://cdn.myanimelist.net/r/100x140/images/anime/2/17592.jpg?s=a15df2d483e5bd553e42e81f8cd88b1e,6.66
Zeonic Toyota Special Movie,8319,ONA,2,Aug 2013 - Sep 2015,3061,https://myanimelist.net/anime/20355/Zeonic_Toyota_Special_Movie,https://cdn.myanimelist.net/r/100x140/images/anime/13/54101.jpg?s=97c66d5c4fce75dc641fd9cf8455be45,6.12
Kidou Senshi Gundam: Tekketsu no Orphans,527,TV,25,Oct 2015 - Mar 2016,230822,https://myanimelist.net/anime/31251/Kidou_Senshi_Gundam__Tekketsu_no_Orphans,https://cdn.myanimelist.net/r/100x140/images/anime/6/75879.jpg?s=9c19a9a81739a07132dc3ea735ec2342,8.05
Hoshizora no Violin,6641,Movie,1,1994 - 1994,904,https://myanimelist.net/anime/9957/Hoshizora_no_Violin,https://cdn.myanimelist.net/r/100x140/images/anime/2/27524.jpg?s=d7675ddbbc558d8de6e1a2beab8d510a,6.45
Bungou Stray Dogs 4th Season,146,TV,13,Jan 2023 - Mar 2023,232003,https://myanimelist.net/anime/50330/Bungou_Stray_Dogs_4th_Season,https://cdn.myanimelist.net/r/100x140/images/anime/1263/132759.jpg?s=3c07ea7b17c5f4cc47fa4fdf94ebc947,8.45
Peeping Life,11825,TV,10,May 2009 - Aug 2009,3097,https://myanimelist.net/anime/6525/Peeping_Life,https://cdn.myanimelist.net/r/100x140/images/anime/10/23512.jpg?s=fe2d761390e340e7398d64781cab2596,5.12
Disney Tsum Tsum,10344,TV,37,Mar 2015 - 2017,1155,https://myanimelist.net/anime/28921/Disney_Tsum_Tsum,https://cdn.myanimelist.net/r/100x140/images/anime/1806/112472.jpg?s=38361becd9cd5cc0680d4d2e47ea2024,5.64
Onegai My Melody Sukkiri♪,4378,TV,52,Apr 2007 - Mar 2008,3343,https://myanimelist.net/anime/5520/Onegai_My_Melody_Sukkiri♪,https://cdn.myanimelist.net/r/100x140/images/anime/10/23593.jpg?s=2f4c3ddf734c9072778adcb34e975cca,6.91
.hack//G.U. Trilogy,3631,Movie,1,Dec 2007 - Dec 2007,32249,https://myanimelist.net/anime/3269/hack__GU_Trilogy,https://cdn.myanimelist.net/r/100x140/images/anime/4/23083.jpg?s=d9cccd252b81b68bdf16c6298aa1a52d,7.08
